benchmark_run_id,contextgate_decision_id,source_table,benchmark_row_id,dataset_id,task_id,target_id,route_label,reason_code,reason_detail,residual_gate_passed,wrong_context_gate_passed,fdr_effect_gate_passed,heldout_replication_passed,leakage_audit_passed,evidence_pointer,artifact_registry_ids,failure_class,failure_taxonomy_ids,claim_level,split_id,seed,control_level,confidence,uses_real_context,uses_synthetic_context
contextgate_bench_v0_cp_q5_smoke,cg_d9f99d8a0feb,failure_taxonomy,discovery_index_without_direct_artifact:dataset_card,discovery_index_without_direct_artifact,dataset_access,dataset_access,abstain_uncertain,access_or_schema_blocker,Dataset is rejected or access-blocked for benchmark use: inaccessible_or_gated_source.,False,False,False,False,True,SCAR_or_scpanstroma_index_pages,contextgate_benchmark_manifest,access_or_schema_blocker,ft_c90b55936739,abstain_uncertain_no_positive_claim,not_recorded,not_recorded,not_applicable,0.99,False,False
contextgate_bench_v0_cp_q5_smoke,cg_59890c246323,failure_taxonomy,htapp_mbc_scp2702_merfish:dataset_card,htapp_mbc_scp2702_merfish,dataset_access,dataset_access,abstain_uncertain,access_or_schema_blocker,Dataset is rejected or access-blocked for benchmark use: inaccessible_or_gated_source.,False,False,False,False,True,results/reports/cp6l_final_dataset_workflow_source_access.md,contextgate_benchmark_manifest,access_or_schema_blocker,ft_227d834f20ef,abstain_uncertain_no_positive_claim,not_recorded,not_recorded,not_applicable,0.99,False,False
contextgate_bench_v0_cp_q5_smoke,cg_18107f87a9cf,failure_taxonomy,private_or_login_only_sources:dataset_card,private_or_login_only_sources,dataset_access,dataset_access,abstain_uncertain,access_or_schema_blocker,Dataset is rejected or access-blocked for benchmark use: inaccessible_or_gated_source.,False,False,False,False,True,CP-Q0.5_rejection_policy,contextgate_benchmark_manifest,access_or_schema_blocker,ft_2f43662b03bd,abstain_uncertain_no_positive_claim,not_recorded,not_recorded,not_applicable,0.99,False,False
contextgate_bench_v0_cp_q5_smoke,cg_cb7a13285640,failure_taxonomy,scrna_visium_deconvolution_cell_claim:dataset_card,scrna_visium_deconvolution_cell_claim,dataset_access,dataset_access,abstain_uncertain,access_or_schema_blocker,Dataset is rejected or access-blocked for benchmark use: missing_cell_level_coordinates.,False,False,False,False,True,CP-Q0.5_rejection_policy,contextgate_benchmark_manifest,access_or_schema_blocker,ft_feeff846e7a3,abstain_uncertain_no_positive_claim,not_recorded,not_recorded,not_applicable,0.99,False,False
contextgate_bench_v0_cp_q5_smoke,cg_b276400b005a,failure_taxonomy,standard_visium_spot_level_only:dataset_card,standard_visium_spot_level_only,dataset_access,dataset_access,abstain_uncertain,access_or_schema_blocker,Dataset is rejected or access-blocked for benchmark use: missing_cell_level_coordinates.,False,False,False,False,True,CP-Q0.5_rejection_policy,contextgate_benchmark_manifest,access_or_schema_blocker,ft_d274f9af341a,abstain_uncertain_no_positive_claim,not_recorded,not_recorded,not_applicable,0.99,False,False
contextgate_bench_v0_cp_q5_smoke,cg_83805a6c3db1,positive_control_ladder,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,gse310352_cosmx_pdac_1k,positive_null_control_ladder,fov_or_sample_confounded_signal,abstain_uncertain,synthetic_confound_abstention,Injected signal follows FOV/sample confounding.,False,True,True,True,True,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,cp_q3_positive_null_ladder,not_applicable,not_applicable,abstain_uncertain_no_positive_claim,fov_holdout,0,fov_or_sample_confounded_signal,0.88,False,False
contextgate_bench_v0_cp_q5_smoke,cg_3b19c8ada7ab,positive_control_ladder,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:localized_context_signal,gse310352_cosmx_pdac_1k,positive_null_control_ladder,localized_context_signal,positive_control_only,synthetic_context_signal_detected,Injected true-neighbor signal was detected as mechanics-only.,True,False,True,True,True,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:localized_context_signal,cp_q3_positive_null_ladder,not_applicable,not_applicable,synthetic_mechanics_only_no_biology_claim,fov_holdout,0,localized_context_signal,0.92,False,True
contextgate_bench_v0_cp_q5_smoke,cg_b7aaa09b8374,positive_control_ladder,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:missing_panel_or_target_dropout_signal,gse310352_cosmx_pdac_1k,positive_null_control_ladder,missing_panel_or_target_dropout_signal,abstain_uncertain,synthetic_missing_panel_abstention,Injected signal is unobservable after target/panel dropout.,False,True,True,True,True,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:missing_panel_or_target_dropout_signal,cp_q3_positive_null_ladder,not_applicable,not_applicable,abstain_uncertain_no_positive_claim,fov_holdout,0,missing_panel_or_target_dropout_signal,0.88,False,False
contextgate_bench_v0_cp_q5_smoke,cg_2834ce445a63,positive_control_ladder,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:null_no_context_signal,gse310352_cosmx_pdac_1k,positive_null_control_ladder,null_no_context_signal,expression_only,synthetic_null_rejected,Null synthetic control does not justify context.,False,True,True,True,True,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:null_no_context_signal,cp_q3_positive_null_ladder,not_applicable,not_applicable,expression_only_recommended_no_context_claim,fov_holdout,0,null_no_context_signal,0.93,False,False
contextgate_bench_v0_cp_q5_smoke,cg_145275c83f72,positive_control_ladder,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:strong_injected_context_signal,gse310352_cosmx_pdac_1k,positive_null_control_ladder,strong_injected_context_signal,positive_control_only,synthetic_context_signal_detected,Injected true-neighbor signal was detected as mechanics-only.,True,False,True,True,True,results/reports/cp_q3_positive_null_control_ladder/positive_control_ladder.parquet#contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:strong_injected_context_signal,cp_q3_positive_null_ladder,not_applicable,not_applicable,synthetic_mechanics_only_no_biology_claim,fov_holdout,0,strong_injected_context_signal,0.92,False,True
