benchmark_run_id,ladder_case_id,dataset_id,platform,cancer_or_tissue_context,split_id,seed,task_id,synthetic_status,claim_scope,control_level,level_order,injected_signal_strength,noise_fraction,prevalence,localization_scope,expected_route,expected_context_positive,missing_panel_dropout,fov_or_sample_confounded,description,effective_signal_strength,artifact_registry_ids
contextgate_bench_v0_cp_q3_smoke,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:null_no_context_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,0,positive_null_control_ladder,synthetic_control_only,evaluator_sensitivity_specificity_only,null_no_context_signal,0,0.0,0.0,0.0,none,expression_only,False,False,False,No injected neighbor-context signal.,0.009220398075231444,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:strong_injected_context_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,0,positive_null_control_ladder,synthetic_control_only,evaluator_sensitivity_specificity_only,strong_injected_context_signal,1,1.0,0.02,0.8,global,positive_control_only,True,False,False,Strong synthetic true-neighbor signal.,1.0,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:weak_or_noisy_injected_context_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,0,positive_null_control_ladder,synthetic_control_only,evaluator_sensitivity_specificity_only,weak_or_noisy_injected_context_signal,2,0.55,0.25,0.45,global,positive_control_only,True,False,False,Moderate synthetic signal with noise.,0.5624363790155473,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:localized_context_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,0,positive_null_control_ladder,synthetic_control_only,evaluator_sensitivity_specificity_only,localized_context_signal,3,0.75,0.12,0.3,fov_or_celltype_subset,positive_control_only,True,False,False,Synthetic signal restricted to a local stratum.,0.768886504070574,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:missing_panel_or_target_dropout_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,0,positive_null_control_ladder,synthetic_control_only,evaluator_sensitivity_specificity_only,missing_panel_or_target_dropout_signal,4,0.85,0.1,0.6,global_but_unobservable,abstain_uncertain,False,True,False,Signal source exists but target/panel evidence is dropped.,0.8693423045052546,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,0,positive_null_control_ladder,synthetic_control_only,evaluator_sensitivity_specificity_only,fov_or_sample_confounded_signal,5,0.9,0.04,0.7,fov_or_sample_confound,abstain_uncertain,False,False,True,Synthetic signal follows FOV/sample rather than neighbors.,0.9090659265800067,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed1:null_no_context_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,1,positive_null_control_ladder,synthetic_control_only,evaluator_sensitivity_specificity_only,null_no_context_signal,0,0.0,0.0,0.0,none,expression_only,False,False,False,No injected neighbor-context signal.,0.01003772262251883,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed1:strong_injected_context_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,1,positive_null_control_ladder,synthetic_control_only,evaluator_sensitivity_specificity_only,strong_injected_context_signal,1,1.0,0.02,0.8,global,positive_control_only,True,False,False,Strong synthetic true-neighbor signal.,1.0,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed1:weak_or_noisy_injected_context_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,1,positive_null_control_ladder,synthetic_control_only,evaluator_sensitivity_specificity_only,weak_or_noisy_injected_context_signal,2,0.55,0.25,0.45,global,positive_control_only,True,False,False,Moderate synthetic signal with noise.,0.5517910667093916,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed1:localized_context_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,1,positive_null_control_ladder,synthetic_control_only,evaluator_sensitivity_specificity_only,localized_context_signal,3,0.75,0.12,0.3,fov_or_celltype_subset,positive_control_only,True,False,False,Synthetic signal restricted to a local stratum.,0.7668303848004039,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed1:missing_panel_or_target_dropout_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,1,positive_null_control_ladder,synthetic_control_only,evaluator_sensitivity_specificity_only,missing_panel_or_target_dropout_signal,4,0.85,0.1,0.6,global_but_unobservable,abstain_uncertain,False,True,False,Signal source exists but target/panel evidence is dropped.,0.862188374314501,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed1:fov_or_sample_confounded_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,1,positive_null_control_ladder,synthetic_control_only,evaluator_sensitivity_specificity_only,fov_or_sample_confounded_signal,5,0.9,0.04,0.7,fov_or_sample_confound,abstain_uncertain,False,False,True,Synthetic signal follows FOV/sample rather than neighbors.,0.9048726701189002,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed2:null_no_context_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,2,positive_null_control_ladder,synthetic_control_only,evaluator_sensitivity_specificity_only,null_no_context_signal,0,0.0,0.0,0.0,none,expression_only,False,False,False,No injected neighbor-context signal.,0.00650601397419954,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed2:strong_injected_context_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,2,positive_null_control_ladder,synthetic_control_only,evaluator_sensitivity_specificity_only,strong_injected_context_signal,1,1.0,0.02,0.8,global,positive_control_only,True,False,False,Strong synthetic true-neighbor signal.,1.0,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed2:weak_or_noisy_injected_context_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,2,positive_null_control_ladder,synthetic_control_only,evaluator_sensitivity_specificity_only,weak_or_noisy_injected_context_signal,2,0.55,0.25,0.45,global,positive_control_only,True,False,False,Moderate synthetic signal with noise.,0.5500517054926725,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed2:localized_context_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,2,positive_null_control_ladder,synthetic_control_only,evaluator_sensitivity_specificity_only,localized_context_signal,3,0.75,0.12,0.3,fov_or_celltype_subset,positive_control_only,True,False,False,Synthetic signal restricted to a local stratum.,0.762248291636875,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed2:missing_panel_or_target_dropout_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,2,positive_null_control_ladder,synthetic_control_only,evaluator_sensitivity_specificity_only,missing_panel_or_target_dropout_signal,4,0.85,0.1,0.6,global_but_unobservable,abstain_uncertain,False,True,False,Signal source exists but target/panel evidence is dropped.,0.8525777548371296,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed2:fov_or_sample_confounded_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,2,positive_null_control_ladder,synthetic_control_only,evaluator_sensitivity_specificity_only,fov_or_sample_confounded_signal,5,0.9,0.04,0.7,fov_or_sample_confound,abstain_uncertain,False,False,True,Synthetic signal follows FOV/sample rather than neighbors.,0.9056003752317281,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:unit_hash_split:seed0:null_no_context_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,unit_hash_split,0,positive_null_control_ladder,synthetic_control_only,evaluator_sensitivity_specificity_only,null_no_context_signal,0,0.0,0.0,0.0,none,expression_only,False,False,False,No injected neighbor-context signal.,0.01986523999829433,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:unit_hash_split:seed0:strong_injected_context_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,unit_hash_split,0,positive_null_control_ladder,synthetic_control_only,evaluator_sensitivity_specificity_only,strong_injected_context_signal,1,1.0,0.02,0.8,global,positive_control_only,True,False,False,Strong synthetic true-neighbor signal.,1.0,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:unit_hash_split:seed0:weak_or_noisy_injected_context_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,unit_hash_split,0,positive_null_control_ladder,synthetic_control_only,evaluator_sensitivity_specificity_only,weak_or_noisy_injected_context_signal,2,0.55,0.25,0.45,global,positive_control_only,True,False,False,Moderate synthetic signal with noise.,0.5568491290665346,cp_q3_positive_null_ladder
