benchmark_run_id,control_level,ladder_case_id,dataset_id,platform,task_id,method_id,method_family,split_id,seed,injected_signal_strength,effective_signal_strength,expected_route,observed_route,sensitivity,specificity,false_positive_context_rate,abstention_rate,confidence,gate_passed,expected_context_positive,missing_panel_dropout,fov_or_sample_confounded,synthetic_status,decision_reason,artifact_registry_ids
contextgate_bench_v0_cp_q3_smoke,fov_or_sample_confounded_signal,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,gse310352_cosmx_pdac_1k,CosMx,positive_null_control_ladder,always_true_neighbor_mean,always_true_neighbor_context,fov_holdout,0,0.9,0.9090659265800067,abstain_uncertain,context_allowed,0.0,0.0,1.0,0.0,0.92,False,False,False,True,synthetic_control_only,always uses true-neighbor context,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,fov_or_sample_confounded_signal,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,gse310352_cosmx_pdac_1k,CosMx,positive_null_control_ladder,cellpack_packed_context_tiny,cellpack_packed_context,fov_holdout,0,0.9,0.9090659265800067,abstain_uncertain,context_allowed,0.0,0.0,1.0,0.0,0.72,False,False,False,True,synthetic_control_only,packed context overuses confounded context,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,fov_or_sample_confounded_signal,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,gse310352_cosmx_pdac_1k,CosMx,positive_null_control_ladder,contextgate_transparent_router,contextgate_transparent_router,fov_holdout,0,0.9,0.9090659265800067,abstain_uncertain,abstain_uncertain,0.0,0.91,0.0,1.0,0.88,True,False,False,True,synthetic_control_only,evidence is unobservable or confounded; abstain,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,fov_or_sample_confounded_signal,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,gse310352_cosmx_pdac_1k,CosMx,positive_null_control_ladder,coordinate_shuffled_control_model,wrong_context_coordinate_shuffled,fov_holdout,0,0.9,0.9090659265800067,abstain_uncertain,context_allowed,0.0,0.0,1.0,0.0,0.7,False,False,False,True,synthetic_control_only,wrong-context control spends context on nonphysical neighbors,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,fov_or_sample_confounded_signal,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,gse310352_cosmx_pdac_1k,CosMx,positive_null_control_ladder,distant_neighbor_control_model,wrong_context_distant_neighbor,fov_holdout,0,0.9,0.9090659265800067,abstain_uncertain,context_allowed,0.0,0.0,1.0,0.0,0.7,False,False,False,True,synthetic_control_only,wrong-context control spends context on nonphysical neighbors,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,fov_or_sample_confounded_signal,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,gse310352_cosmx_pdac_1k,CosMx,positive_null_control_ladder,expression_only_linear,expression_only_or_center_only,fov_holdout,0,0.9,0.9090659265800067,abstain_uncertain,expression_only,0.0,1.0,0.0,0.0,0.95,True,False,False,True,synthetic_control_only,center-expression baseline never uses context,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,fov_or_sample_confounded_signal,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,gse310352_cosmx_pdac_1k,CosMx,positive_null_control_ladder,ligand_receptor_pathway_heuristic,ligand_receptor_or_pathway_heuristic,fov_holdout,0,0.9,0.9090659265800067,abstain_uncertain,context_allowed,0.0,0.0,1.0,0.0,0.74,False,False,False,True,synthetic_control_only,coverage heuristic is vulnerable to confounded signal,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,fov_or_sample_confounded_signal,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,gse310352_cosmx_pdac_1k,CosMx,positive_null_control_ladder,lightweight_graphsage_aggregation,gnn_style_context_aggregation,fov_holdout,0,0.9,0.9090659265800067,abstain_uncertain,context_allowed,0.0,0.0,1.0,0.0,0.68,False,False,False,True,synthetic_control_only,message passing can absorb confounded FOV signal,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,fov_or_sample_confounded_signal,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,gse310352_cosmx_pdac_1k,CosMx,positive_null_control_ladder,random_neighbor_control_model,wrong_context_random_neighbor,fov_holdout,0,0.9,0.9090659265800067,abstain_uncertain,context_allowed,0.0,0.0,1.0,0.0,0.7,False,False,False,True,synthetic_control_only,wrong-context control spends context on nonphysical neighbors,cp_q3_positive_null_ladder
contextgate_bench_v0_cp_q3_smoke,fov_or_sample_confounded_signal,contextgate_bench_v0_cp_q3_smoke:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_or_sample_confounded_signal,gse310352_cosmx_pdac_1k,CosMx,positive_null_control_ladder,spatial_statistics_heuristic,spatial_statistics_heuristic,fov_holdout,0,0.9,0.9090659265800067,abstain_uncertain,context_allowed,0.0,0.0,1.0,0.0,0.82,False,False,False,True,synthetic_control_only,spatial statistic is fooled by FOV/sample confound,cp_q3_positive_null_ladder
