context_utility_id,phase,source_dataset,run_label,sample_id,fov_id,cell_type,pathway,stratum_kind,gate_name,gate_passed,gate_description,evidence_class,context_utility_score,route_recommendation
cus_001,CP-4.10,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,raw_receptor_signal_gate_passed,False,raw neighbor ligand signal predicts receptor target,negative_context,0.0,expression_only
cus_001,CP-4.10,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,residual_receptor_gate_passed,False,neighbor context explains receptor residual after center-only baseline,negative_context,0.0,expression_only
cus_001,CP-4.10,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,residual_module_gate_passed,False,neighbor context explains pathway/module residual after center-only baseline,negative_context,0.0,expression_only
cus_001,CP-4.10,xenium_breast_v1,cp3lr_mu128_mg128_k5_steps12,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,contrastive_context_gate_passed,False,true context is separable from wrong context,negative_context,0.0,expression_only
cus_002,CP-4.11,xenium_breast_biomarkers_v1,cp6a_loader_smoke,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,residual_signal_gate_passed,False,second-dataset residual signal gate passed,negative_context,0.0,expression_only
cus_002,CP-4.11,xenium_breast_biomarkers_v1,cp6a_loader_smoke,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,target_coverage_gate_passed,True,target coverage is sufficient for signal tests,negative_context,0.0,expression_only
cus_002,CP-4.11,xenium_breast_biomarkers_v1,cp6a_loader_smoke,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,spatial_label_gate_passed,True,spatial label signal or label feasibility gate passed,negative_context,0.0,expression_only
cus_002,CP-4.11,xenium_breast_biomarkers_v1,cp6a_loader_smoke,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,heldout_gate_passed,True,held-out split feasibility gate passed,negative_context,0.0,expression_only
cus_003,CP-4.11,xenium_breast_biomarkers_v1,cp6b_loader_top4_s1000,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,residual_signal_gate_passed,False,second-dataset residual signal gate passed,negative_context,0.0,expression_only
cus_003,CP-4.11,xenium_breast_biomarkers_v1,cp6b_loader_top4_s1000,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,target_coverage_gate_passed,True,target coverage is sufficient for signal tests,negative_context,0.0,expression_only
cus_003,CP-4.11,xenium_breast_biomarkers_v1,cp6b_loader_top4_s1000,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,spatial_label_gate_passed,True,spatial label signal or label feasibility gate passed,negative_context,0.0,expression_only
cus_003,CP-4.11,xenium_breast_biomarkers_v1,cp6b_loader_top4_s1000,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,heldout_gate_passed,True,held-out split feasibility gate passed,negative_context,0.0,expression_only
cus_004,CP-4.11,xenium_breast_biomarkers_v1,cp6c_loader_all12_s500,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,residual_signal_gate_passed,False,second-dataset residual signal gate passed,negative_context,0.0,expression_only
cus_004,CP-4.11,xenium_breast_biomarkers_v1,cp6c_loader_all12_s500,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,target_coverage_gate_passed,True,target coverage is sufficient for signal tests,negative_context,0.0,expression_only
cus_004,CP-4.11,xenium_breast_biomarkers_v1,cp6c_loader_all12_s500,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,spatial_label_gate_passed,True,spatial label signal or label feasibility gate passed,negative_context,0.0,expression_only
cus_004,CP-4.11,xenium_breast_biomarkers_v1,cp6c_loader_all12_s500,not_recorded,not_recorded,not_recorded,not_recorded,registered_gate,heldout_gate_passed,True,held-out split feasibility gate passed,negative_context,0.0,expression_only
